building_id,timestamp,energy_kwh
739,2023-01-01 00:00:00,326.0684389851288
243,2023-01-01 00:01:00,200.06887224820122
493,2023-01-01 00:02:00,350.6743924974891
940,2023-01-01 00:03:00,396.9296600331297
54,2023-01-01 00:04:00,319.2425406292371
690,2023-01-01 00:05:00,301.58468927762783
641,2023-01-01 00:06:00,221.6970416621283
308,2023-01-01 00:07:00,182.54628872610039
592,2023-01-01 00:08:00,360.3392187876105
560,2023-01-01 00:09:00,279.2902555305462
43,2023-01-01 00:10:00,171.8031665171224
672,2023-01-01 00:11:00,487.057957779906
21,2023-01-01 00:12:00,200.6429923274092
994,2023-01-01 00:13:00,355.2170629027441
888,2023-01-01 00:14:00,486.4031999679255
323,2023-01-01 00:15:00,104.34933389595516
836,2023-01-01 00:16:00,359.79883212034434
38,2023-01-01 00:17:00,314.40536653285574
502,2023-01-01 00:18:00,56.668952488795384
946,2023-01-01 00:19:00,141.3610706721429
500,2023-01-01 00:20:00,87.34806569396955
722,2023-01-01 00:21:00,132.46542488294892
252,2023-01-01 00:22:00,75.55973816490659
632,2023-01-01 00:23:00,204.84136079545686
538,2023-01-01 00:24:00,454.0007826099435
290,2023-01-01 00:25:00,55.652196749524606
390,2023-01-01 00:26:00,119.22371543671876
179,2023-01-01 00:27:00,186.9958295837716
867,2023-01-01 00:28:00,309.26711862796003
983,2023-01-01 00:29:00,488.96257923456255
182,2023-01-01 00:30:00,153.8502842337589
759,2023-01-01 00:31:00,25.730873096978645
886,2023-01-01 00:32:00,417.4590943805908
391,2023-01-01 00:33:00,495.22258160833314
438,2023-01-01 00:34:00,170.42249926254632
599,2023-01-01 00:35:00,84.04165671729206
546,2023-01-01 00:36:00,160.00086775008674
733,2023-01-01 00:37:00,238.36369281685603
20,2023-01-01 00:38:00,183.32371354104976
832,2023-01-01 00:39:00,463.1901033423888
852,2023-01-01 00:40:00,203.2091898213128
308,2023-01-01 00:41:00,157.34084331796757
997,2023-01-01 00:42:00,310.41784157368534
244,2023-01-01 00:43:00,450.2364393552704
7,2023-01-01 00:44:00,467.3063762786508
37,2023-01-01 00:45:00,340.730929207685
972,2023-01-01 00:46:00,402.03451312130653
678,2023-01-01 00:47:00,282.8565801189503
237,2023-01-01 00:48:00,221.91430206275533
956,2023-01-01 00:49:00,110.68988467275373
57,2023-01-01 00:50:00,106.66527618151619
610,2023-01-01 00:51:00,345.64434823474534
607,2023-01-01 00:52:00,126.62866451888407
736,2023-01-01 00:53:00,395.8802356414801
252,2023-01-01 00:54:00,213.5524647835395
647,2023-01-01 00:55:00,304.40585589474125
797,2023-01-01 00:56:00,451.78128158703987
585,2023-01-01 00:57:00,491.765810451329
716,2023-01-01 00:58:00,32.617446033024265
200,2023-01-01 00:59:00,270.24818930598946
385,2023-01-01 01:00:00,205.30517594887218
