review_id,user_id,business_name,rating,review_text
1,185441,Store C,2,bad service
2,158580,Cafe A,5,great place
3,121809,Gym B,1,great place
4,168767,Mall D,3,bad service
5,195384,Store C,4,not clean
6,175608,Store C,3,bad service
7,197286,Cafe A,5,will visit again
8,142095,Mall D,4,not clean
9,148419,Mall D,3,bad service
10,128430,Gym B,3,not clean
11,117581,Mall D,4,will visit again
12,148421,Gym B,5,bad service
13,135936,Store C,1,great place
14,125261,Cafe A,2,will visit again
15,106364,Mall D,2,will visit again
16,196376,Mall D,4,great place
17,171172,Store C,4,great place
18,178443,Store C,1,not clean
19,158561,Gym B,5,great place
20,138550,Store C,2,will visit again
21,195861,Store C,5,will visit again
22,159489,Gym B,1,great place
23,184267,Gym B,4,will visit again
24,110444,Store C,5,will visit again
25,115895,Mall D,1,great place
26,141258,Store C,5,not clean
27,191450,Mall D,3,bad service
28,107438,Gym B,4,bad service
29,147464,Store C,2,not clean
30,156838,Gym B,3,will visit again
31,133502,Cafe A,4,bad service
32,180006,Cafe A,3,not clean
33,119739,Cafe A,3,will visit again
34,141440,Gym B,3,will visit again
35,182782,Store C,2,not clean
36,181256,Gym B,3,will visit again
37,142701,Gym B,3,not clean
38,168748,Mall D,1,great place
39,115376,Gym B,5,great place
40,130696,Gym B,3,not clean
41,142239,Gym B,4,will visit again
42,123600,Gym B,1,will visit again
43,134531,Store C,3,great place
44,104197,Gym B,1,not clean
45,103833,Mall D,3,not clean
46,100282,Mall D,5,great place
47,128867,Store C,2,great place
48,186872,Gym B,2,bad service
49,166641,Cafe A,4,will visit again
50,102219,Store C,2,not clean
51,114898,Store C,3,will visit again
52,181374,Gym B,5,bad service
53,194953,Gym B,2,bad service
54,129554,Gym B,5,not clean
55,164392,Cafe A,3,will visit again
56,104638,Cafe A,4,bad service
57,178751,Mall D,3,will visit again
58,100244,Gym B,3,great place
59,155633,Cafe A,5,great place
60,115990,Mall D,4,will visit again
61,102109,Gym B,1,not clean
62,161716,Cafe A,2,will visit again
63,128375,Store C,5,bad service
64,101388,Gym B,1,will visit again
65,194426,Gym B,2,not clean
66,144843,Gym B,3,great place
67,142005,Gym B,2,not clean
68,164232,Gym B,2,great place
69,124205,Gym B,3,great place
70,152125,Store C,4,not clean
71,173603,Gym B,1,great place
72,175861,Gym B,4,will visit again
73,165371,Cafe A,1,bad service
74,157011,Mall D,5,bad service
75,138202,Mall D,4,great place
76,184591,Store C,3,bad service
77,198995,Gym B,2,bad service
78,108331,Store C,3,will visit again
79,129566,Cafe A,2,bad service
80,152175,Store C,1,bad service
81,172622,Cafe A,2,not clean
82,158150,Store C,2,not clean
83,185773,Store C,4,bad service
84,164609,Store C,5,will visit again
85,137254,Mall D,3,not clean
86,139623,Cafe A,1,bad service
87,148337,Mall D,1,great place
88,168289,Gym B,4,bad service
89,198346,Mall D,5,not clean
90,176461,Mall D,2,not clean
91,153923,Mall D,4,will visit again
92,133451,Mall D,5,not clean
93,154508,Mall D,1,not clean
94,127911,Gym B,4,bad service
95,155164,Cafe A,3,great place
96,152822,Store C,2,not clean
97,192632,Gym B,5,not clean
98,120685,Mall D,3,great place
99,116729,Store C,1,will visit again
100,168198,Mall D,5,not clean
101,153212,Mall D,1,bad service
102,179971,Gym B,4,great place
103,144396,Store C,1,great place
104,175143,Cafe A,1,will visit again
105,176458,Gym B,2,bad service
106,163985,Gym B,4,bad service
107,149932,Mall D,4,great place
108,109984,Gym B,5,bad service
109,132077,Gym B,3,bad service
110,188341,Mall D,5,bad service
111,151683,Cafe A,2,great place
112,102936,Store C,1,bad service
