business_id,date,revenue_usd,transactions
7061,2023-01-01 00:00:00,7114.525618546468,56
7884,2023-01-01 01:00:00,1179.124031922475,50
2198,2023-01-01 02:00:00,3150.8464507419158,94
4278,2023-01-01 03:00:00,4022.7411739284844,33
8264,2023-01-01 04:00:00,1511.362460803205,77
7810,2023-01-01 05:00:00,4681.10490316596,6
3861,2023-01-01 06:00:00,3048.9725765763783,54
1927,2023-01-01 07:00:00,3215.9960415441606,9
8633,2023-01-01 08:00:00,3264.6088423102574,77
3075,2023-01-01 09:00:00,4522.2390159744145,70
5954,2023-01-01 10:00:00,7864.078122331894,83
1398,2023-01-01 11:00:00,9271.05014793725,18
3388,2023-01-01 12:00:00,4226.277630708661,64
3946,2023-01-01 13:00:00,2744.4621364001446,92
1346,2023-01-01 14:00:00,2730.0230704322894,41
9395,2023-01-01 15:00:00,619.3339041544832,26
9651,2023-01-01 16:00:00,4744.775272792942,6
6454,2023-01-01 17:00:00,6446.2706274410275,14
6687,2023-01-01 18:00:00,6890.467426960474,58
4431,2023-01-01 19:00:00,8959.313599589856,63
1927,2023-01-01 20:00:00,7666.400742750346,82
2072,2023-01-01 21:00:00,4186.62719328699,27
1593,2023-01-01 22:00:00,3546.081958318909,65
9620,2023-01-01 23:00:00,7139.5682377596595,21
1305,2023-01-02 00:00:00,4994.951009774003,48
4922,2023-01-02 01:00:00,7661.480380006815,60
1633,2023-01-02 02:00:00,4366.490377624025,3
6892,2023-01-02 03:00:00,2339.505730390585,54
6650,2023-01-02 04:00:00,5925.154560080799,26
2238,2023-01-02 05:00:00,494.50872504643127,50
4234,2023-01-02 06:00:00,813.2621667311787,42
2552,2023-01-02 07:00:00,1149.197063263171,91
8816,2023-01-02 08:00:00,1508.1510168053203,25
1231,2023-01-02 09:00:00,5301.044724019257,51
2800,2023-01-02 10:00:00,664.2497235219164,74
4444,2023-01-02 11:00:00,7229.518057024394,90
4484,2023-01-02 12:00:00,8534.607251232808,27
5287,2023-01-02 13:00:00,4114.181049441859,18
6873,2023-01-02 14:00:00,1108.76182168401,28
7600,2023-01-02 15:00:00,4294.791251436132,99
9132,2023-01-02 16:00:00,2247.0233121522047,29
5999,2023-01-02 17:00:00,5292.182605955805,70
4252,2023-01-02 18:00:00,6757.317336710121,46
5599,2023-01-02 19:00:00,2767.7752645544183,47
1909,2023-01-02 20:00:00,3790.128403516747,58
2746,2023-01-02 21:00:00,6358.911776928778,79
4586,2023-01-02 22:00:00,389.0787594764329,92
2026,2023-01-02 23:00:00,4941.523640252772,69
7597,2023-01-03 00:00:00,443.24479062199214,81
7799,2023-01-03 01:00:00,5153.123859065913,41
5076,2023-01-03 02:00:00,1919.9635597380257,61
2260,2023-01-03 03:00:00,8470.633746753088,16
4896,2023-01-03 04:00:00,6124.905080079838,95
8295,2023-01-03 05:00:00,6587.61624433218,37
7785,2023-01-03 06:00:00,1158.0530527280512,2
5869,2023-01-03 07:00:00,7279.2221890671935,26
6087,2023-01-03 08:00:00,9003.258163969695,30
6884,2023-01-03 09:00:00,8204.639257859515,26
3732,2023-01-03 10:00:00,2309.000976504242,33
3242,2023-01-03 11:00:00,2349.9924631048234,33
7826,2023-01-03 12:00:00,1748.2651430381322,40
1305,2023-01-03 13:00:00,6914.231675067321,96
3698,2023-01-03 14:00:00,9825.863418274925,98
5315,2023-01-03 15:00:00,1592.8099015870143,98
3622,2023-01-03 16:00:00,589.5312914458824,8
6687,2023-01-03 17:00:00,4119.883004346999,82
6623,2023-01-03 18:00:00,5940.491579605328,23
1417,2023-01-03 19:00:00,7094.692124424068,74
7728,2023-01-03 20:00:00,1513.1620862729164,11
8652,2023-01-03 21:00:00,6945.9478301359395,31
8220,2023-01-03 22:00:00,8203.98407493435,11
8312,2023-01-03 23:00:00,5783.297010285463,47
3562,2023-01-04 00:00:00,2179.544525948581,36
2139,2023-01-04 01:00:00,1867.243946741956,78
4512,2023-01-04 02:00:00,7063.710247314046,90
2747,2023-01-04 03:00:00,7865.992563179208,79
2343,2023-01-04 04:00:00,5103.441770741943,76
9191,2023-01-04 05:00:00,1631.9193145984539,36
2659,2023-01-04 06:00:00,8365.637279671852,67
9326,2023-01-04 07:00:00,7179.2705043041815,1
7969,2023-01-04 08:00:00,8566.607634753347,9
7107,2023-01-04 09:00:00,3967.18462505491,76
7871,2023-01-04 10:00:00,6943.312976034842,98
7666,2023-01-04 11:00:00,7085.709966201622,84
2209,2023-01-04 12:00:00,8839.709405968459,29
4295,2023-01-04 13:00:00,140.54774377871277,87
5105,2023-01-04 14:00:00,712.5053747935171,14
5789,2023-01-04 15:00:00,3760.8484366185617,94
5093,2023-01-04 16:00:00,8980.08903596151,38
7894,2023-01-04 17:00:00,1878.85311016628,65
4161,2023-01-04 18:00:00,1653.1077063847874,47
2418,2023-01-04 19:00:00,9330.819424378087,68
7273,2023-01-04 20:00:00,9022.952331333032,89
4461,2023-01-04 21:00:00,7481.358497291474,79
3862,2023-01-04 22:00:00,9201.847257219988,74
8132,2023-01-04 23:00:00,9116.85874912961,24
8513,2023-01-05 00:00:00,2570.29974717728,28
3549,2023-01-05 01:00:00,582.6707824356355,56
1597,2023-01-05 02:00:00,9538.479143676295,98
9468,2023-01-05 03:00:00,6622.920020020713,66
8485,2023-01-05 04:00:00,922.1552938221852,76
1456,2023-01-05 05:00:00,7877.021307057209,82
7333,2023-01-05 06:00:00,1403.1122935284006,60
6214,2023-01-05 07:00:00,8552.898626905531,6
3996,2023-01-05 08:00:00,9524.051724636794,81
1326,2023-01-05 09:00:00,4920.187351938508,78
6987,2023-01-05 10:00:00,5148.453112060033,66
6284,2023-01-05 11:00:00,967.0981588715356,95
6721,2023-01-05 12:00:00,7560.234251476267,28
7318,2023-01-05 13:00:00,8746.013351759648,63
6025,2023-01-05 14:00:00,2131.491445069892,73
1014,2023-01-05 15:00:00,8130.0882164584755,24
2420,2023-01-05 16:00:00,2677.8571547962733,22
9388,2023-01-05 17:00:00,8227.107397804992,13
2809,2023-01-05 18:00:00,563.6064559159488,41
1540,2023-01-05 19:00:00,6924.612056592838,8
8488,2023-01-05 20:00:00,7581.664179519418,17
5732,2023-01-05 21:00:00,9751.560185493461,28
4461,2023-01-05 22:00:00,3115.383005951733,62
8982,2023-01-05 23:00:00,7107.180579209809,91
6475,2023-01-06 00:00:00,6942.652194659637,38
3268,2023-01-06 01:00:00,8603.65739115641,33
